tconst	averageRating	numVotes
tt0098656	6.8	126
tt0098657	7.2	16
tt0098658	6.9	928
tt0098682	6.8	59
tt0098707	7.2	70
tt0098788	8.1	46
tt0098831	5.7	150
tt0098859	7.5	95
tt0098920	2.8	33
tt0098958	5.6	204
tt0098959	5.2	152
tt0098961	5.4	975
tt0098962	7.6	1409
tt0098963	6.4	66
tt0098965	2.3	841
tt0098966	5.4	25019
tt0098967	6.7	6949
tt0098968	5.6	398
tt0098970	5.9	87
tt0098971	5.3	189
tt0098972	6.4	276
tt0098974	6.2	31
tt0098976	4.6	634
tt0098978	6.3	34
tt0098980	5.6	11
tt0098981	5.7	52
tt0098982	5.2	23
tt0098986	6.3	234
tt0098987	6.4	18356
tt0098988	5.3	42
tt0098989	6.2	38
tt0098990	7.1	496
tt0098991	6.9	40
tt0098992	2.8	7
tt0098993	6.9	286
tt0098994	6.5	3759
tt0098995	5.7	151
tt0098996	4.1	368
tt0098997	6.1	20
tt0098998	5.4	51
tt0098999	7.6	9031
tt0099000	7	205
tt0099001	6.4	72
tt0099004	5.1	81
tt0099005	5.8	28962
tt0099006	8.2	14
tt0099008	5.4	48
tt0099009	6.4	193
tt0099011	5.4	34
tt0099012	6.6	14457
tt0099013	5.9	23
tt0099014	6.4	1019
tt0099015	7	27
tt0099016	7.2	9
tt0099017	4.5	148
tt0099018	5.5	4677
tt0099021	7.9	582
tt0099023	7.4	5
tt0099025	4.3	51
tt0099026	5.9	3797
tt0099027	6.4	61
tt0099028	7.8	892
tt0099029	5.2	290
tt0099034	6	40
tt0099038	5.6	47
tt0099039	5	744
tt0099040	7.5	7937
tt0099041	5.2	193
tt0099043	8.2	3041
tt0099044	5.9	42011
tt0099045	5.9	376
tt0099049	6.2	17
tt0099050	4.1	149
tt0099051	5.1	24
tt0099052	6.5	70541
tt0099053	6.4	1479
tt0099054	5.2	442
tt0099055	7.1	52
tt0099056	4.4	40
tt0099058	6.2	33
tt0099059	4.5	339
tt0099066	4.5	22
tt0099067	6.4	19
tt0099071	7.5	56
tt0099072	6.1	349
tt0099073	7.2	6380
tt0099074	5	52
tt0099075	5.9	168
tt0099076	6.2	177
tt0099077	7.8	141718
tt0099078	6.1	18
tt0099080	5.9	1677
tt0099081	6.1	350
tt0099082	6.7	144
tt0099083	5.1	157
tt0099085	5.1	239
tt0099087	6.3	143
tt0099088	7.4	444950
tt0099089	5.6	211
tt0099090	4.9	258
tt0099091	6.2	9924
tt0099092	4	233
tt0099094	7.1	137
tt0099095	6.5	43
tt0099097	7.5	408
tt0099098	5.8	84
tt0099100	3.6	96
tt0099101	7.5	7
tt0099103	6.7	182
tt0099104	4	51
tt0099105	5.7	7
tt0099106	5	19
tt0099108	5.4	5080
tt0099109	5.4	10
tt0099110	6.5	41
tt0099111	6.6	97
tt0099112	6.8	8
tt0099114	5.5	200
tt0099115	5.2	11
tt0099118	7	212
tt0099119	6.8	320
tt0099120	6.7	65
tt0099121	7.4	741
tt0099122	6.3	40
tt0099123	6	25
tt0099124	5.5	68
tt0099125	4.6	14
tt0099126	7.1	406
tt0099127	6.4	389
tt0099128	5.6	3773
tt0099129	8.5	30
tt0099130	6.3	20
tt0099132	5.8	92
tt0099134	5.6	158
tt0099136	5.7	1142
tt0099137	5.9	672
tt0099138	6.8	1248
tt0099140	5.5	29
tt0099141	6	44987
tt0099142	5.7	1585
tt0099145	2.6	22
tt0099149	6.4	84
tt0099150	5.7	75
tt0099151	5.4	1273
tt0099153	5	565
tt0099155	4.8	712
tt0099156	6.9	38
tt0099157	6.8	56
tt0099158	7.1	781
tt0099160	5.7	15607
tt0099162	6.2	12
tt0099163	6	38
tt0099164	4.3	476
tt0099165	5.6	25249
tt0099166	6.1	1180
tt0099167	5.9	224
tt0099171	6.6	419
tt0099173	5.9	4775
tt0099174	6.3	94
tt0099175	6.4	63
tt0099177	4.7	47
tt0099178	3.9	109
tt0099179	5.9	111
tt0099180	6.2	16194
tt0099181	6.7	25
tt0099182	6.7	54
tt0099183	6	104
tt0099184	5.2	341
tt0099186	4.1	16
tt0099188	6.5	4620
tt0099190	6.3	76
tt0099191	7.7	11
tt0099192	5.5	126
tt0099194	5.4	141
